INFO: [2023-11-24 22:32:04] genewalk.deepwalk - Walks for 7500/43209 nodes complete in 64.46s
INFO: [2023-11-24 22:32:04] genewalk.deepwalk - Walks for 7600/43209 nodes complete in 64.90s
INFO: [2023-11-24 22:32:05] genewalk.deepwalk - Walks for 7700/43209 nodes complete in 65.68s
INFO: [2023-11-24 22:32:06] genewalk.deepwalk - Walks for 7800/43209 nodes complete in 66.57s
INFO: [2023-11-24 22:32:07] genewalk.deepwalk - Walks for 7900/43209 nodes complete in 67.16s
INFO: [2023-11-24 22:32:09] genewalk.deepwalk - Walks for 8000/43209 nodes complete in 69.07s
INFO: [2023-11-24 22:32:09] genewalk.deepwalk - Walks for 8100/43209 nodes complete in 69.87s
INFO: [2023-11-24 22:32:10] genewalk.deepwalk - Walks for 8200/43209 nodes complete in 70.54s
INFO: [2023-11-24 22:32:10] genewalk.deepwalk - Walks for 8300/43209 nodes complete in 71.01s
INFO: [2023-11-24 22:32:11] genewalk.deepwalk - Walks for 8400/43209 nodes complete in 71.36s
INFO: [2023-11-24 22:32:11] genewalk.deepwalk - Walks for 8500/43209 nodes complete in 71.84s
INFO: [2023-11-24 22:32:12] genewalk.deepwalk - Walks for 8600/43209 nodes complete in 72.13s
INFO: [2023-11-24 22:32:12] genewalk.deepwalk - Walks for 8700/43209 nodes complete in 72.54s
INFO: [2023-11-24 22:32:12] genewalk.deepwalk - Walks for 8800/43209 nodes complete in 73.02s
INFO: [2023-11-24 22:32:13] genewalk.deepwalk - Walks for 8900/43209 nodes complete in 73.58s
INFO: [2023-11-24 22:32:13] genewalk.deepwalk - Walks for 9000/43209 nodes complete in 74.03s
INFO: [2023-11-24 22:32:14] genewalk.deepwalk - Walks for 9100/43209 nodes complete in 74.36s
INFO: [2023-11-24 22:32:14] genewalk.deepwalk - Walks for 9200/43209 nodes complete in 74.83s
INFO: [2023-11-24 22:32:15] genewalk.deepwalk - Walks for 9300/43209 nodes complete in 75.19s
INFO: [2023-11-24 22:32:15] genewalk.deepwalk - Walks for 9400/43209 nodes complete in 75.39s
