"","fgsea.Geneset"
"182","KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM"
"183","KEGG_PPAR_SIGNALING_PATHWAY"
"184","KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS"
"185","KEGG_PRIMARY_IMMUNODEFICIENCY"
"186","KEGG_PRION_DISEASES"
"187","KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION"
"188","KEGG_PROPANOATE_METABOLISM"
"189","KEGG_PROSTATE_CANCER"
"190","KEGG_PROTEASOME"
"191","KEGG_PROTEIN_EXPORT"
"192","KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION"
"193","KEGG_PURINE_METABOLISM"
"194","KEGG_PYRIMIDINE_METABOLISM"
"195","KEGG_PYRUVATE_METABOLISM"
"196","KEGG_REGULATION_OF_ACTIN_CYTOSKELETON"
"197","KEGG_REGULATION_OF_AUTOPHAGY"
"198","KEGG_RENAL_CELL_CARCINOMA"
"199","KEGG_RENIN_ANGIOTENSIN_SYSTEM"
"200","KEGG_RETINOL_METABOLISM"
"201","KEGG_RIBOFLAVIN_METABOLISM"
"202","KEGG_RIBOSOME"
"203","KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY"
"204","KEGG_RNA_DEGRADATION"
"205","KEGG_RNA_POLYMERASE"
"206","KEGG_SELENOAMINO_ACID_METABOLISM"
"207","KEGG_SMALL_CELL_LUNG_CANCER"
"208","KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT"
"209","KEGG_SPHINGOLIPID_METABOLISM"
"210","KEGG_SPLICEOSOME"
"211","KEGG_STARCH_AND_SUCROSE_METABOLISM"
"212","KEGG_STEROID_BIOSYNTHESIS"
"213","KEGG_STEROID_HORMONE_BIOSYNTHESIS"
"214","KEGG_SULFUR_METABOLISM"
"215","KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS"
"216","KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY"
"217","KEGG_TASTE_TRANSDUCTION"
"218","KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM"
"219","KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS"
"220","KEGG_TGF_BETA_SIGNALING_PATHWAY"
"221","KEGG_THYROID_CANCER"
"222","KEGG_TIGHT_JUNCTION"
"223","KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY"
"224","KEGG_TRYPTOPHAN_METABOLISM"
"225","KEGG_TYPE_I_DIABETES_MELLITUS"
"226","KEGG_TYPE_II_DIABETES_MELLITUS"
"227","KEGG_TYROSINE_METABOLISM"
"228","KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS"
"229","KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS"
"230","KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION"
"231","KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION"
"232","KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION"
"233","KEGG_VEGF_SIGNALING_PATHWAY"
"234","KEGG_VIBRIO_CHOLERAE_INFECTION"
"235","KEGG_VIRAL_MYOCARDITIS"
"236","KEGG_WNT_SIGNALING_PATHWAY"
